sentence,intents
how long do i have to wait to get a day off,next_holiday
whens the next day off,next_holiday
how many day left until the next day out of work,next_holiday
tell me the next holiday,next_holiday
tell me how long until the next day off,next_holiday
i got to know how long until the next day off,next_holiday
i wanna know how long until the next day off,next_holiday
i need to know how long until the next day off,next_holiday
i wanna know the next holiday,next_holiday
let me know how long until the next day off,next_holiday
i wish to know the next holiday,next_holiday
i must know the next holiday,next_holiday
i would like to know the next holiday,next_holiday
find the next holiday,next_holiday
when is the soonest holiday,next_holiday
turn volume up to 4,change_volume
adjust volume setting to 4,change_volume
keep volume at 4 all the time,change_volume
put volume setting on number 4,change_volume
please make sure the volume stay at 4,change_volume
put the volume to 4,change_volume
volume to 4,change_volume
turn down your speaker,change_volume
decrease your decibel level,change_volume
be more quiet,change_volume
please lower the sound,change_volume
speak up,change_volume
not so loud,change_volume
quieter please,change_volume
increase the volume,change_volume
turn up the volume,change_volume
speak louder please,change_volume
please lower your volume,change_volume
louder please,change_volume
turn down the volume,change_volume
can you speak quieter,change_volume
turn to volume 4,change_volume
set 4 a the volume,change_volume
turn volume to 4,change_volume
volume 4 set,change_volume
volume set to 4,change_volume
i cant hear you and need you to turn up the volume,change_volume
turn up your speaker volume,change_volume
can you speak louder,change_volume
can you turn up the volume for your speaker,change_volume
who is in charge of you when you work,who_do_you_work_for
who is responsible for your employment,who_do_you_work_for
who do you report to for your work,who_do_you_work_for
let me know who your bos is,who_do_you_work_for
i want to know who your bos is,who_do_you_work_for
would you let me know who your bos is,who_do_you_work_for
i would like to know who your bos is,who_do_you_work_for
are you my insubordinate,who_do_you_work_for
doe someone else control you,who_do_you_work_for
do i own you,who_do_you_work_for
what firm do you work for,who_do_you_work_for
do you take your order from me,who_do_you_work_for
do i control you,who_do_you_work_for
am i in charge of you,who_do_you_work_for
is there another person that control you,who_do_you_work_for
who do you take your order from,who_do_you_work_for
would you consider someone else your bos,who_do_you_work_for
do you take order from someone else,who_do_you_work_for
who control you,who_do_you_work_for
who your bos,who_do_you_work_for
what company do you work for,who_do_you_work_for
who employ you,who_do_you_work_for
where do you work,who_do_you_work_for
who is it that you work for,who_do_you_work_for
whom do you work for,who_do_you_work_for
who is your job with,who_do_you_work_for
what company are you employed by,who_do_you_work_for
what is the name of the place you work at,who_do_you_work_for
whats your boss name,who_do_you_work_for
who can i talk to above you,who_do_you_work_for
whats the most i can charge on my card,credit_limit
how much do i have available on my visa card,credit_limit
what is my visa credit limit,credit_limit
how much of a credit limit doe visa allow,credit_limit
is there a substantial credit limit on my visa,credit_limit
a my visa got a high enough limit on it,credit_limit
what is my credit max,credit_limit
what is my credit card spending limit,credit_limit
whats my daily spending limit,credit_limit
tell me my credit limit,credit_limit
how much credit do i have on my discover card,credit_limit
do i have a monthly spending limit,credit_limit
whats the limit on my discover card,credit_limit
is there a spending limit,credit_limit
what is my credit limit on my discover,credit_limit
whats my spending limit on my discover,credit_limit
how much is my maximum to spend on credit card,credit_limit
whats my discover credit limit,credit_limit
how much can i use on my visa,credit_limit
my visa ha what limit,credit_limit
tell me my visa limit,credit_limit
look up how high my visa limit is,credit_limit
what is the limit on my visa,credit_limit
what is my state bank of india card credit limit,credit_limit
calculate the limit i have available for spending on my natwest card,credit_limit
tell me my hsbc card credit limit,credit_limit
whats the spending limit on my lloyd card,credit_limit
i need you to tell me the credit limit for my republic bank card,credit_limit
how high is my credit limit,credit_limit
i want to know my credit limit,credit_limit
is the resataurant busy at 500 pm,how_busy
how busy is the cafe at 700,how_busy
would tios be crowded at 7,how_busy
can i get a table for four at 800,how_busy
is the friday full after 4,how_busy
how long is the wait at friday,how_busy
is the mexican place crowded at night,how_busy
are cool people at the bar at 900 pm,how_busy
what is the best time to go to get a burger without a line,how_busy
how long before i can eat at chic fil a,how_busy
how long to be seated at carrabas,how_busy
is the wait at pizza hut long,how_busy
is the breakfast place full in the morning,how_busy
is the wait more than an hour at the italian place,how_busy
tell me how busy red robin is at 5 pm,how_busy
i wanna know how busy dennys is at 5 am,how_busy
i need to know how busy dennys is at 6 am,how_busy
how busy is red robin around 5 pm,how_busy
so how busy is the outback steakhouse at 5 pm,how_busy
tell me mr joes pizza average wait time,how_busy
is mr joes pizza available for a seating,how_busy
doe mr joes pizza usually have a long wait,how_busy
can you find out the waiting time for mr joes pizza,how_busy
whats the typical wait time for mr joes pizza,how_busy
how busy is cheesecake factory right now,how_busy
how long is the wait at cheesecake factory,how_busy
how long will i have to wait at cheesecake factory,how_busy
is cheesecake factory busy right now,how_busy
check how busy cheesecake factory is,how_busy
is there a long wait at chili around 500,how_busy
can i do a reservation at sammys crab shack,accept_reservations
doe bill house of chop suey accept reservation,accept_reservations
check if bjs take reservation,accept_reservations
will bjs take reservation,accept_reservations
do you know if i can make reservation at bjs,accept_reservations
tell me if the new york restaurant take reservation,accept_reservations
can i reserve table at the new york restaurant,accept_reservations
i want to know if the new york restaurant take reservation,accept_reservations
doe the new york restaurant take reservation,accept_reservations
is it possible to make reservation at the new york restaurant,accept_reservations
do you have any idea if the flying wing doe reservation,accept_reservations
doe village inn let you make reservation,accept_reservations
is it possible to get reservation at ihop,accept_reservations
is it possible to reserve a table at white castle,accept_reservations
do you think theyll let me reserve a table at the olive garden,accept_reservations
do they take reservation at applebeesi,accept_reservations
doe applebees do reservation,accept_reservations
can applebees take reservation,accept_reservations
can i get reservation at applebees,accept_reservations
doe applebees take reservation,accept_reservations
tell me if taco bell take reservation,accept_reservations
any clue a to if taco bell take reservation,accept_reservations
do you know if taco bell take reservation,accept_reservations
any idea a to if taco bell take reservation,accept_reservations
do you know if larpege will ask for reservation,accept_reservations
will we have to make reservation for roca,accept_reservations
doe osteria francescana take reservation,accept_reservations
do you have any idea if central need reservation,accept_reservations
eleven madison park take reservation right,accept_reservations
where is my order now,order_status
tell me all update about my order status,order_status
is my order on it way or whats going on,order_status
how is my order doing right now,order_status
locate my package,order_status
can you monitor my package progress,order_status
track my order,order_status
tell me where my package is currently,order_status
where is my package en route,order_status
give me the status of my order,order_status
when will i get my order,order_status
tell me where my order is,order_status
what is the status of the order i placed with you yesterday,order_status
whats the updated status of my order,order_status
can you help with delivery tracking,order_status
i need a delivery tracked,order_status
i need to track my order,order_status
i placed an order and i need it tracked,order_status
could you track an order for me,order_status
ha my package been sent,order_status
what time is my package getting here,order_status
hows my amazon order doing,order_status
i need to track a package,order_status
i want to track a package i should be getting,order_status
please track my order,order_status
can you tell me when my item will get here,order_status
can you tell me where my item is,order_status
whats up with my order,order_status
are they any update on my order,order_status
i need to track the status of my order,order_status
im struggling to remind myself the pin number to my card,pin_change
im having trouble remembering the pin number to my card,pin_change
the pin number to my card ha been forgotten,pin_change
i dont remember the pin number to my card,pin_change
i do not recall the pin number to my card,pin_change
i would like to change the name on my checking account,pin_change
i would like to change the name on my credit card account,pin_change
i would like to change the name on my first hawaiian bank account,pin_change
i would like to change the name on my first bankcard account,pin_change
i would like to change the name on my capital one account,pin_change
change the pin on my saving account to 1234,pin_change
i want to change my saving account pin to 1234,pin_change
make 1234 a new pin for my saving account,pin_change
make 1234 the pin on my saving account,pin_change
can you make 1234 the pin for my saving account,pin_change
make my pin 1234 for my checking account,pin_change
go my to checking account and switch my pin to 1234,pin_change
access my checking account and update my pin to 1234,pin_change
correct my account pin to 1234 on my checking account,pin_change
modify my account pin to 1234 on my checking account,pin_change
tell me the pin number for my checking account,pin_change
please give me the pin number for my checking account,pin_change
i need the pin number for my checking account,pin_change
doe my checking account have a pin number,pin_change
whats the pin number for my checking account,pin_change
change the code of my saving account to be 1234,pin_change
alter the pin on my saving account to be 1234,pin_change
what exactly is my pin,pin_change
how do i change the account pin number for me,pin_change
please tell me how do i change the account pin number,pin_change
good speaking to you,goodbye
it wa really awesome to talk to you,goodbye
it wa great to speak with you,goodbye
it wa great to talk to you,goodbye
bye bye then,goodbye
it wa very good to talk to you,goodbye
good bye then,goodbye
regard,goodbye
catch you later,goodbye
great talk thanks,goodbye
enjoy your day goodbye,goodbye
thank you goodbye,goodbye
have a good day bye,goodbye
that will be all have a nice day,goodbye
i enjoyed talking to you bye,goodbye
it wa great talking to you,goodbye
nice seeing you bye,goodbye
it wa nice to chat,goodbye
it wa a pleasure talking to you,goodbye
ok good chatting goodbye,goodbye
thanks bye bye,goodbye
thats all i need im going now,goodbye
talk to you soon bye,goodbye
thanks for your help goodbye,goodbye
good bye,goodbye
signing off,goodbye
why is my bank account locked,account_blocked
how do i unlock my bank account,account_blocked
can you unlock my bank account,account_blocked
how did my bank account get frozen,account_blocked
can you help me unlock my bank account,account_blocked
call my bank and ask them why my account is frozen,account_blocked
check with my bank to see why my account is frozen,account_blocked
do you know why my bank account is frozen,account_blocked
why did my bank place a hold on my bank account,account_blocked
are there any problem with my bank account,account_blocked
did someone who is unauthorized try to get into my bank account,account_blocked
how can i unfreeze my bank account,account_blocked
why is there a stop on my deposit account,account_blocked
why cant i use my money market account,account_blocked
why is there a delay on my checking account,account_blocked
why is my checking account not working,account_blocked
what could cause a hold on my saving account,account_blocked
what caused a hold on my u bank account,account_blocked
can you check and see why u bank put a hold on my account,account_blocked
why doe u bank have a hold on my account,account_blocked
reason that u bank would place a hold on my account,account_blocked
check to see why u bank placed a hold on my account,account_blocked
is there a problem with my account it appears to be blocked,account_blocked
what is up with my account why is it blocked,account_blocked
there seems to be an issue with my account,account_blocked
can you help me unblock my account,account_blocked
can you check what the problem with my account is it seems to b e blocked,account_blocked
is there a reason you put a hold on my chase account,account_blocked
why cant i access my chase account,account_blocked
how come my chase account ha a hold on it,account_blocked
id like to know what song this is,what_song
what is this song name,what_song
i need to know this song,what_song
what is the name of this song thats on right now,what_song
i need to know the title of this song,what_song
find out what song is currently on the speaker,what_song
look up the name of this song,what_song
can you identify this song for me,what_song
tell me what this song is called,what_song
please identify the song were currently listening to,what_song
what is the title of the song were listening to right now,what_song
look up the song thats on right now,what_song
can you identify this song thats playing,what_song
find out what song this is,what_song
i need to know what song this is that were listening to,what_song
tell me the song that is currently playing,what_song
can you identify this song playing through the speaker right now,what_song
tell me what this song is called thats playing,what_song
what is the title of this song,what_song
what is this song called,what_song
what song is currently playing,what_song
what is the information on this song,what_song
what song is this one,what_song
on the speaker do you know what song is on,what_song
on the speaker what song is playing,what_song
do you know what song is playing on the speaker,what_song
at the moment what song is playing on the speaker,what_song
what is playing on the speaker at the moment,what_song
who is the singer on the speaker now,what_song
what kind of music on the speaker now,what_song
will i be charged transaction fee if i use my american card internationally,international_fees
will i incur transaction fee if i use my american card internationally,international_fees
do i have transaction fee if i use my american card internationally,international_fees
could you find out if my bank charge transaction fee on my american card if use internationally,international_fees
will the bank charge transaction fee if i use my american card internationally,international_fees
do i get charged extra for using my card in portland,international_fees
will i get charged for using my credit card in portland,international_fees
if im in portland can i still use my card without getting charged extra,international_fees
is there a fee for using my card in portland,international_fees
doe using my card in portland charge me extra,international_fees
what are the transaction fee associated with my discover card if i am in rome,international_fees
how many transaction fee are there when i use my discover card in rome,international_fees
are there transaction fee for discover card used in rome,international_fees
will using a discover card in rome cause transaction fee,international_fees
do i have transaction fee when i use my discover card in rome,international_fees
are there transaction fee using my discover if im in cuba,international_fees
when i go to cuba will there be a transaction fee for using my discover card,international_fees
is there a fee to use my card in france,international_fees
will i be charged a transaction fee on my discover card in cuba,international_fees
is there a charge to use my card in france,international_fees
if i use my discover card in cuba are there transaction fee,international_fees
are there transaction fee in cuba for using my discover card,international_fees
so i get charged if i use my card in france,international_fees
is there an international charge for using my card in france,international_fees
is there a fee if i use my card in france,international_fees
is there a charge to use my card in croatia,international_fees
in x will i be charged to use my card,international_fees
in x what is the charge if i use my card,international_fees
if i use my card in x will there be a charge,international_fees
will it cost me anything to use my card in turin,international_fees
what wa the date of my last car appointment,last_maintenance
wa my car in the shop this past week,last_maintenance
how many week ago wa my car in the shop,last_maintenance
did i get my car inspected recently,last_maintenance
i cannot remember when i last took my car to the shop,last_maintenance
did i bring my car to the shop last week,last_maintenance
when did i get my car inspected last,last_maintenance
give me the date that i last got my car checked,last_maintenance
did i take my car to the mechanic recently,last_maintenance
tell me when i got my car checked last,last_maintenance
when did i last take my car to the shop,last_maintenance
give me an exact date of when i took my car to the mechanic,last_maintenance
remind me of the last date that i got my car checked,last_maintenance
when wa my last visit to the car shop,last_maintenance
when wa my car last in the shop,last_maintenance
how long ago did i take my car to the shop,last_maintenance
how long ha it been since i last took my car to the shop,last_maintenance
when did i take my car to the shop last,last_maintenance
give me the date of my last oil change,last_maintenance
tell me when i last had my oil changed,last_maintenance
when wa my oil last changed,last_maintenance
what day did i last take my car to the shop,last_maintenance
have i recently had an oil change,last_maintenance
what wa the date of the last time i took my car to the shop,last_maintenance
what day did i last take my car in,last_maintenance
tell me when my last oil change wa,last_maintenance
i last got my oil changed when,last_maintenance
what day did i last have the oil in my car changed,last_maintenance
what wa the date of my last oil change,last_maintenance
id like to know the last time my car got looked at,last_maintenance
are there meeting scheduled for today,meeting_schedule
check today calendar for meeting,meeting_schedule
check my schedule for meeting today,meeting_schedule
list meeting on calendar for today,meeting_schedule
exactly what time is my meeting with robin scheduled for on,meeting_schedule
for what time is my meeting with marketing scheduled,meeting_schedule
what time is my meeting with design team scheduled for,meeting_schedule
when is my meeting with infrastructure,meeting_schedule
when is my meeting with invoicing scheduled,meeting_schedule
is the meeting with lisa today,meeting_schedule
are there meeting from 1 to 5 pm,meeting_schedule
when for i meet jane for our meeting,meeting_schedule
tell me if i have a meeting with liz today,meeting_schedule
is there a meeting with sam today,meeting_schedule
do i have a meeting with paul today,meeting_schedule
is there any meeting from 5 to 6 pm,meeting_schedule
when is my meeting with jim scheduled for,meeting_schedule
are there any meeting between 2 and 5 pm,meeting_schedule
is it possible i have a meeting with kim today,meeting_schedule
my meeting with alice is scheduled for when,meeting_schedule
when is my meeting with jack for,meeting_schedule
when is my meeting with ann,meeting_schedule
do i have any meeting between 1 and 8 pm,meeting_schedule
i need to know if i have meeting from 3 to 6 pm,meeting_schedule
do i have any meeting scheduled today,meeting_schedule
give me a summary of today meeting,meeting_schedule
tell me when today meeting is supposed to happen,meeting_schedule
what time is today meeting,meeting_schedule
check the start time of the meeting scheduled for today,meeting_schedule
am i supposed to attend any meeting today,meeting_schedule
what food do you need to make lasagna,ingredients_list
what ingredient do you need to make lasagna,ingredients_list
what ingredient are needed to make lasgana,ingredients_list
what is needed to make lasagna,ingredients_list
what is needed to cook lasagna,ingredients_list
give me a recipe for taco,ingredients_list
what ingredient are in taco,ingredients_list
tell me whats in taco,ingredients_list
whats a good recipe foe taco,ingredients_list
tell me the ingredient for making tom yum,ingredients_list
i want to know the ingredient for making pizza,ingredients_list
let me know the ingredient i will need for pasta making,ingredients_list
what ingredient are necessary to make spaghetti carbonara,ingredients_list
what do i need to use to make lasagna,ingredients_list
how much flour do i need for a strawberry cake,ingredients_list
tell me the ingredient to make an apple pie,ingredients_list
what ingredient are in beef jerkey,ingredients_list
what ingredient doe agor agor need,ingredients_list
what do i need to make authentic kimchi,ingredients_list
what do i need to make macaroni,ingredients_list
what do i need to buy for spaghetti,ingredients_list
what am i gonna need for sushi,ingredients_list
what ingredient do i use for pork belly,ingredients_list
what ingredient are in filet mignon,ingredients_list
let me know what ingredient i need to make pasta,ingredients_list
what do i need to make pasta,ingredients_list
give me a list of ingredient for making pasta,ingredients_list
pull up everything i need to make a pasta dish,ingredients_list
tell me all the thing i need to buy to make pasta,ingredients_list
what do i need to make brownie,ingredients_list
i want to report fraudulent activity on my navy federal card,report_fraud
i would like to report fraudulent activity on my chase card,report_fraud
i need to report fraudulent activity on my usaa card,report_fraud
i have to report fraudulent activity on my bank of the west card,report_fraud
i have to report fraudulent activity the bank of america card,report_fraud
i seem to have a purchase that i didnt make from olive garden on my account,report_fraud
my online bill ha some item that i didnt purchase from penneys,report_fraud
my account show a transaction that i didnt make from foot locker,report_fraud
my bill show a purchase from payless shoe but i didnt buy anything,report_fraud
i have some charge on my account from old navy that arent mine,report_fraud
this charge is b,report_fraud
i have a bogus transaction from amazon on my account,report_fraud
i have a fraudulent buy from daves video on my account,report_fraud
i have a crap transaction from guitar center on my account,report_fraud
i think this transaction is bogus,report_fraud
i dont remember buying this,report_fraud
i have a b transaction from ebay on my account,report_fraud
ive got a fraudulent purchase from kayak on my account,report_fraud
do i have a fraudulent transaction on my account,report_fraud
im pretty sure i have a fraudulent transaction on my account,report_fraud
there a false charge on my account from mcdonalds,report_fraud
i think there a fraudulent charge from mcdonalds on my account,report_fraud
i think someone jacked my bank account,report_fraud
i saw suspicious activity on my bank account,report_fraud
someone else used my account to buy stuff from mcdonalds,report_fraud
there a messed up transaction on my account from mcdonalds,report_fraud
i saw a fraudulent transaction,report_fraud
i have a false charge on my account from mcdonalds,report_fraud
who do i contact to report fraud on my visa,report_fraud
there ha been unauthorized use of my visa,report_fraud
how many teaspoon will make one tablespoon,measurement_conversion
i need the conversion between a cup and a tablespoon,measurement_conversion
inform me how many pound are in 10 kilo,measurement_conversion
i wanna know how many pound are in 10 kilo,measurement_conversion
how do you convert kilo to pound,measurement_conversion
how many teaspoon is one tablespoon,measurement_conversion
i need to convert kilo to pound,measurement_conversion
i need to know the conversion between teaspoon and tablespoon,measurement_conversion
how many pound are in 10 kilo,measurement_conversion
can you assist me to convert kilo to pound,measurement_conversion
let me know how many pound are in 10 kilo,measurement_conversion
give me the conversion between ounce and cup,measurement_conversion
help me convert kilo to pound,measurement_conversion
i need to know how many pound are in 10 kilo,measurement_conversion
i want to convert kilo to pound,measurement_conversion
how can i convert centimeter to inch,measurement_conversion
how would i change from centimeter to inch,measurement_conversion
what can i use to convert from centimeter to inch,measurement_conversion
how can you convert centimeter to inch,measurement_conversion
how could we convert centimeter to inch,measurement_conversion
how doe measurement slug convert to measurement lb,measurement_conversion
how doe measurement a convert to measurement b,measurement_conversion
where can i find measurement conversion,measurement_conversion
how many ounce are in 4 pound,measurement_conversion
how many gram are in 9 kilogram,measurement_conversion
how many centimeter are in 12 meter,measurement_conversion
how many inch are in 36 foot,measurement_conversion
how many millimeter are in 21 centimeter,measurement_conversion
how many milliliter are in 2 gallon,measurement_conversion
how many liter are in 1 gallon,measurement_conversion
i would like it if you would turn the bedroom light on low until im finished reading,smart_home
i need you to turn the bathroom light on,smart_home
set the ceiling fan to low,smart_home
start the dishwasher,smart_home
turn on the tv on channel 6,smart_home
turn on the microwave for 3 minute,smart_home
on the tv turn on,smart_home
set the tv on,smart_home
how is the temperature at ac,smart_home
the tv turn it on,smart_home
oven set it to 350,smart_home
the temperature at ac is what,smart_home
tv turn it on,smart_home
350 set the oven,smart_home
the oven be set at 350,smart_home
turn the oven to 350,smart_home
at ac whats the temperature like,smart_home
ac temperature is at what,smart_home
turn on the tv,smart_home
what is it like the temperature at ac,smart_home
to 350 set the oven,smart_home
please turn the light down low,smart_home
can you adjust the light down,smart_home
i want the light le bright please,smart_home
make the light darker,smart_home
please set the oven to 350 f,smart_home
please set the temperature to 70 f,smart_home
set the oven temperature to 350,smart_home
i need the temperature set at 70 f,smart_home
turn up the oven temperature to 350,smart_home
i really need you to find me a hotel with good review in phoenix,book_hotel
i wanna book a place to stay in phoenix from the 5th to the 9th of march,book_hotel
i wanna find a hotel with good review in phoenix,book_hotel
i want a hotel in phoenix near chase field from january 4th to the 8th,book_hotel
i would like to book a place to stay in phoenix from the 5th to the 9th of march,book_hotel
i need a hotel in phoenix near chase field from january 4th to the 8th,book_hotel
i need a hotel room that is big enough for eleven people from march 10th to the 15th in phoenix,book_hotel
i must get a hotel in phoenix near chase field from january 4th to the 8th,book_hotel
go ahead and find me a hotel with good review in phoenix,book_hotel
find me a hotel with good review in phoenix,book_hotel
i need you to find me a hotel with good review in phoenix,book_hotel
get me a hotel in phoenix near chase field from january 4th to the 8th,book_hotel
i need to get a hotel in phoenix near chase field from january 4th to the 8th,book_hotel
please book me a place to stay in phoenix from the 5th to the 9th of march,book_hotel
i need to book a place to stay in phoenix from the 5th to the 9th of march,book_hotel
i really gotta book a place to stay in phoenix from the 5th to the 9th of march,book_hotel
i need to get a hotel room that is big enough for eleven people from march 10th to the 15th in phoenix,book_hotel
can you find me a reputable hotel in honolulu,book_hotel
i want a hotel with good review in honolulu can you find one,book_hotel
find for me a hotel with great review in ho chi minh,book_hotel
i need your help to find a good reviewed hotel in washington,book_hotel
can you find me a good reviewed hotel in japan,book_hotel
i need a hotel between january 1st through 3rd in jacksonville near the stadium,book_hotel
find me a place to stay in jacksonville near the stadium from january 1st through 3rd,book_hotel
book me a hotel in jacksonville near the stadium from january 1st to 3rd,book_hotel
id like a room in jacksonville near the stadium between january 1st to 3rd,book_hotel
find me a room near the jacksonville stadium between january 1st through january 3rd,book_hotel
get me a hotel room big enough for 4 people from may 3 to may 5 in boston,book_hotel
im travelling to boston on march 2 until march 4 please make a hotel reservation for me,book_hotel
i need a hotel room for 4 people from may 3 to may 5 in boston,book_hotel
pull up the map and show my location,current_location
where am i currently,current_location
where is my current location,current_location
whats my map location,current_location
find my current location,current_location
please tell me the current location,current_location
i want to see my location on the map,current_location
whats the location where i am,current_location
can you tell me my current location,current_location
where am i located on the map,current_location
where am i currently located,current_location
show my location on the map,current_location
i am currently located in what town,current_location
my current location is what,current_location
give me my location,current_location
tell me where i am,current_location
show my position on the map,current_location
where is my location,current_location
current location please,current_location
display my location on the map,current_location
where am i,current_location
find out where i am on the map,current_location
where am i on the map,current_location
show me where i am on the map please,current_location
open map and pin point my location,current_location
show me my location,current_location
what could help me locate myself,current_location
i need assistance with my current location,current_location
where would i search for my location,current_location
what is the weather,weather
current weather,weather
tell me the weather,weather
whats the weather like today,weather
what is the weather like,weather
show me what the weather is like,weather
let take a look at the weather,weather
how is the weather looking in seattle,weather
hows the weather in seattle,weather
what is the state of the weather in seattle,weather
what is the weather forecast looking like for seattle,weather
what are the weather condition like in seattle,weather
what is the weather doing now,weather
what kind of weather can i expect now,weather
tell me what the weather is looking like,weather
how is the weather,weather
can you tell me the weather forecast,weather
could you tell me what the weather is in austin,weather
what is the weather doing in austin,weather
what about the weather in austin,weather
how is the weather in austin,weather
what is happening with the weather in austin,weather
how is that weather,weather
how doe the weather feel,weather
need to know the weather now,weather
give weather update now,weather
want to know the weather,weather
tell me the weather for today,weather
what is the current weather like,weather
la vega weather today,weather
tell me what my federal tax amount to,taxes
what tax do i owe,taxes
let talk about what my federal tax look like,taxes
what tax will i owe from my income,taxes
whats the total of my tax,taxes
what do my federal tax look like,taxes
how much are the tax on my income,taxes
please share my federal tax total with me,taxes
how much in tax will i owe,taxes
what do my state tax look like,taxes
whats the total of tax from my income,taxes
tell me how much my state tax amount to,taxes
whats the total of my federal tax,taxes
look up how much my state tax are,taxes
talk to me about the total of my state tax,taxes
what am i paying in tax,taxes
what is the total of my state tax,taxes
how much do i owe the irs,taxes
how much do i pay the irs,taxes
do you know my state tax total,taxes
whats the amount of tax for my income,taxes
how much are my tax for my income,taxes
i pay how much of tax with my income,taxes
how much is my state tax,taxes
i need the data and price from my state tax,taxes
do you know the price for my tax in income,taxes
what is the amount of my state tax,taxes
what is the price of my state tax that i owe,taxes
do you know the total for tax for my income,taxes
what should i squirrel away to pay in tax,taxes
i must pay verizon what minimum amount on my bill,min_payment
what is the lowest amount i must pay on my verizon bill,min_payment
at a minimum what must i pay on my verizon bill,min_payment
what is my minimum verizon bill payment,min_payment
what must i pay at a minimum on my verizon bill,min_payment
whats the least i can pay this month,min_payment
what is my amex minimum payment,min_payment
whats the minimum payment,min_payment
what is my minimum payment and when is it due,min_payment
is there a minimum payment i can make,min_payment
what is the lowest amount i can pay for my cellphone bill,min_payment
what is the lowest amount i can pay for my insurance bill,min_payment
what is the minimum i can pay on my credit card bill,min_payment
what is the lowest amount i can pay for my medical bill,min_payment
what is the minimum i can pay on my phone bill,min_payment
what is the minimum i can pay on my insurance bill,min_payment
what is the minimum i can pay on my electric bill,min_payment
what is the minimum i can pay on my gas bill,min_payment
what is the lowest amount i can pay for my hospital bill,min_payment
what is the lowest amount i can pay for my car bill,min_payment
what is the minimum i can pay on my cell phone bill,min_payment
what is the minimum i can pay on my water bill,min_payment
what is the minimum i can pay on my heating bill,min_payment
tell me the minimum i can pay on my utility bill,min_payment
what is the minimum amount i can pay on my gas bill,min_payment
do you know the smallest amount i can pay on my water bill,min_payment
look up the lowest amount i can pay on my electricity bill,min_payment
what is the minimum payable amount for my rent bill this month,min_payment
what is the minimum payment on my water bill,min_payment
if i wanted to spend the lowest for my electric bill then how much would it be,min_payment
set whisper mode to off,whisper_mode
switch off whisper mode,whisper_mode
switch whisper mode off,whisper_mode
turn whisper mode off,whisper_mode
whisper mode please,whisper_mode
please start whisper mode,whisper_mode
switch over to whisper mode,whisper_mode
leave whisper mode,whisper_mode
revert from whisper mode,whisper_mode
whisper mode must be left,whisper_mode
change from whisper mode,whisper_mode
help to turn on whisper mode,whisper_mode
turn on whisper mode,whisper_mode
whisper mode,whisper_mode
start whisper mode,whisper_mode
go to whisper mode until this movie is over,whisper_mode
go to whisper mode until i say to go back to normal,whisper_mode
go into whisper mode until the plane land,whisper_mode
go to whisper mode for one hour,whisper_mode
go to whisper mode until my morning alarm go off,whisper_mode
make saound function operate in whisper mode,whisper_mode
change audio setting to the whisper option,whisper_mode
change audio to whisper mode,whisper_mode
i want to only use the whisper sound,whisper_mode
change sound setting to whisper,whisper_mode
change to something thats not whisper mode,whisper_mode
cancel whisper mode,whisper_mode
get out of whisper mode,whisper_mode
whisper mode stop,whisper_mode
stop whisper mode,whisper_mode
stop what youre doing,cancel
this process need to stop,cancel
stop this process,cancel
that wa a mistake undo that,cancel
ignore the previous command,cancel
forget what i told you to do,cancel
please cancel the last input,cancel
please stop the current process,cancel
can you end the current process,cancel
just stop talking,cancel
please stop talking,cancel
stop just stop,cancel
you can stop talking ai,cancel
stop the process,cancel
can you turn off the process,cancel
stop talking,cancel
you can cancel the task,cancel
can you cancel that,cancel
can you cancel that request,cancel
could you cancel that request please,cancel
can you cancel that request please,cancel
can you cancel that please,cancel
hush,cancel
be quiet,cancel
stop it now,cancel
stop talking you are annoying,cancel
you need to shut it,cancel
stop processing,cancel
abort mission,cancel
stop speaking,cancel
are visa needed to travel to jamaica,international_visa
do i need a visa for south korea,international_visa
if i go to columbia will i need a visa,international_visa
are visa required to go to cuba,international_visa
do i need to apply for a visa for my trip to india,international_visa
if i go to indonesia would i need a visa,international_visa
do i need a visa to travel to indonesia,international_visa
should i apply for a visa if i am traveling to mexico,international_visa
is a visa necessary for traveling to south africa,international_visa
if i want to travel to singapore do i need a visa,international_visa
do american need visa in canada,international_visa
would i need a visa in taiwan,international_visa
id like to go to malaysia so do i need a visa,international_visa
is a travel visa needed for thailand,international_visa
what are the visa requirement for brazil,international_visa
is a travel visa required to visit paraguay,international_visa
doe travelling to st petersburg require a travel visa,international_visa
should i get a travel visa if i want to go to guyana,international_visa
will i be able to visit peru without a travel visa,international_visa
if i want to go to x do i need a travel visa,international_visa
can i get to cuba with this visa,international_visa
do i need a visa to get to puerto rico,international_visa
do i need a visa to go to colombia,international_visa
do i need a state visa to get to cuba,international_visa
do i need a u visa for cuba,international_visa
if i get a visa can i travel to japan,international_visa
do i need a visa if im going to san jose,international_visa
do i need a visa to travel outside of the u,international_visa
are visa for international travel,international_visa
can you travel outside of the united state without a visa,international_visa
do i need to get any shot before i travel to morocco,vaccines
do i need to get any shot before i travel to south africa,vaccines
do i need to get any shot before i travel to zimbabwe,vaccines
do i need to get any shot before i travel to liberia,vaccines
do i need to get any shot before i travel to spain,vaccines
are there any required shot to travel to astana,vaccines
what shot do i need if im travelling to odessa,vaccines
are there any shot i need to travel to karachi,vaccines
are there any required shot in indonesia,vaccines
what are the required shot in mozambique,vaccines
are more shot needed to travel to argentina,vaccines
